POZO,FECHA,AGUA_INYECTADA,PIA
well_11,29/12/2017,696,175
well_11,30/12/2017,2755,1104
well_11,31/12/2017,2869,1605
well_11,1/01/2018,2728,1552
well_11,2/01/2018,2946,1650
well_11,3/01/2018,2937,1629
well_11,4/01/2018,2949,1741
well_11,5/01/2018,2930,1636
well_11,6/01/2018,2947,1606
well_11,7/01/2018,2966,1578
well_11,8/01/2018,2975,1595
well_11,9/01/2018,2975,1573
well_11,10/01/2018,2961,1610
well_11,11/01/2018,2928,1628
well_11,12/01/2018,2964,1644
well_11,13/01/2018,2942,1630
well_11,14/01/2018,2949,1607
well_11,15/01/2018,2770,1573
well_11,16/01/2018,2159,1613
well_11,17/01/2018,2819,1621
well_11,18/01/2018,2020,1322
well_11,19/01/2018,1028,1402
well_11,20/01/2018,1708,1303
well_11,21/01/2018,1749,1343
well_11,22/01/2018,1786,1298
well_11,23/01/2018,1430,1209
well_11,24/01/2018,1457,1315
well_11,25/01/2018,1789,1435
well_11,26/01/2018,1836,1393
well_11,27/01/2018,1826,1411
well_11,28/01/2018,1887,1513
well_11,29/01/2018,1835,1310
well_11,30/01/2018,1869,1396
well_11,31/01/2018,1239,992
well_11,1/02/2018,1865,1096
well_11,2/02/2018,1866,1133
well_11,3/02/2018,1862,1199
well_11,4/02/2018,1867,1279
well_11,5/02/2018,936,1286
well_11,6/02/2018,1336,1082
well_11,7/02/2018,1906,1267
well_11,8/02/2018,1878,1245
well_11,9/02/2018,1802,1129
well_11,10/02/2018,1170,1232
well_11,11/02/2018,0,0
well_11,12/02/2018,0,0
well_11,13/02/2018,0,0
well_11,14/02/2018,0,0
well_11,15/02/2018,0,0
well_11,16/02/2018,0,0
well_11,17/02/2018,0,0
well_11,18/02/2018,0,0
well_11,19/02/2018,0,0
well_11,20/02/2018,0,0
well_11,21/02/2018,0,0
well_11,22/02/2018,0,0
well_11,23/02/2018,0,0
well_11,24/02/2018,0,0
well_11,25/02/2018,0,0
well_11,26/02/2018,0,0
well_11,27/02/2018,0,0
well_11,28/02/2018,0,0
well_11,1/03/2018,300,375
well_11,2/03/2018,1899,1032
well_11,3/03/2018,1842,1238
well_11,4/03/2018,1823,1250
well_11,5/03/2018,1749,1214
well_11,6/03/2018,1689,1183
well_11,7/03/2018,1729,1234
well_11,8/03/2018,1274,1222
well_11,9/03/2018,1773,1227
well_11,10/03/2018,1775,1221
well_11,11/03/2018,1745,1240
well_11,12/03/2018,1758,1245
well_11,13/03/2018,1765,1255
well_11,14/03/2018,1112,954
well_11,15/03/2018,1701,1178
well_11,16/03/2018,1820,1314
well_11,17/03/2018,1903,1378
well_11,18/03/2018,1880,1473
